,publisher_id,num_skus,num_products,num_retailers,total_points,points_mean,importance_mode,remaining_lifecycle_months_mean,num_geographies,num_listings,weighted_score
198,457,30,9,152,5744,25.873873873873872,4.0,18.56756756756757,56,222,13426.54054054054
237,522,39,4,90,5580,23.25,4.0,16.445833333333333,33,240,13396.681666666665
197,452,23,8,152,5353,17.436482084690553,3.0,8.941368078175897,57,307,13483.145928338761
96,278,40,7,203,5146,13.366233766233766,3.0,19.148051948051947,53,385,13743.748051948052
80,249,30,2,216,5004,13.344,4.0,22.0,62,375,13347.6096
81,250,28,9,124,4917,21.756637168141594,3.0,14.969026548672566,58,226,11862.456194690265
45,60,32,10,155,4775,11.9375,3.0,13.2775,62,400,13243.66575
287,635,49,9,83,4749,22.614285714285714,2.0,7.233333333333333,32,210,11429.239523809525
192,445,16,4,173,4593,13.39067055393586,5.0,4.0,62,343,12282.951603498545
156,393,24,5,172,4564,18.256,3.0,18.228,54,250,11305.512799999999
303,657,19,5,29,4475,67.8030303030303,2.0,23.439393939393938,15,66,9620.174242424244
179,423,10,3,90,4449,27.128048780487806,3.0,16.0,34,164,10392.715243902438
274,618,29,4,109,4398,22.553846153846155,2.0,7.174358974358975,50,195,10541.937948717949
166,406,31,3,119,4318,25.251461988304094,3.0,10.608187134502923,40,171,10126.812865497077
137,349,17,4,203,4252,17.14516129032258,3.0,16.358870967741936,63,248,10602.417741935482
145,358,25,4,92,4167,29.13986013986014,3.0,12.153846153846153,45,143,9606.04895104895
127,332,15,6,205,4135,13.922558922558922,5.0,12.464646464646465,61,297,10848.60202020202
23,32,18,6,211,4145,14.646643109540635,3.0,5.106007067137809,63,283,10708.666784452294
254,593,25,3,128,4016,18.854460093896712,4.0,23.0,48,213,9933.469014084507
297,651,22,8,98,3958,25.869281045751634,3.0,27.49673202614379,49,153,9283.27973856209
22,29,18,2,144,3927,16.430962343096233,2.0,28.13389121338912,41,239,9987.7949790795
177,421,32,4,82,3914,25.58169934640523,3.0,14.084967320261438,30,153,9213.391503267974
268,610,15,3,85,3835,19.870466321243523,2.0,12.860103626943005,28,193,9451.871502590671
219,502,36,12,120,3835,15.847107438016529,2.0,14.958677685950413,52,242,9852.829338842977
174,418,25,9,120,3818,20.526881720430108,3.0,24.376344086021504,54,186,9279.975268817203
171,415,15,3,137,3703,20.125,3.0,4.054347826086956,50,184,8989.955978260869
49,67,21,6,100,3636,19.76086956521739,2.0,7.494565217391305,37,184,8924.38043478261
234,519,28,16,65,3524,10.550898203592814,5.0,16.164670658682635,46,334,10258.52754491018
200,459,22,5,127,3624,19.27659574468085,3.0,37.61702127659574,56,188,8913.142553191488
