,publisher_id,num_skus,num_products,num_retailers,total_points,points_mean,importance_mode,remaining_lifecycle_months_mean,num_geographies,num_listings,weighted_score
410,829,2,1,41,575,4.0,4.0,30.0,41,41,-1153.0000000755026
262,602,1,1,1,60,60.0,4.0,-12.0,1,1,-1204.0
418,838,1,1,40,455,4.0,5.0,30.0,40,40,-1211.0000000755026
415,834,1,1,40,455,4.0,5.0,30.0,40,40,-1211.0000000755026
425,846,1,1,40,455,4.0,4.0,30.0,40,40,-1212.0000000755026
437,860,1,1,40,455,4.0,4.0,30.0,40,40,-1212.0000000755026
256,595,20,4,54,1929,24.0,3.0,25.5,19,78,-1246.5000067965354
422,842,2,1,41,575,4.0,2.0,29.0,41,41,-1255.0000002052377
222,505,8,3,53,1756,2.0,4.0,25.0,53,190,-1255.500011205593
267,609,3,1,30,565,8.0,3.0,10.0,19,31,-1255.6312777774685
341,731,5,1,43,658,4.0,2.0,31.0,18,46,-1262.0000000277757
328,688,2,1,3,360,120.0,2.0,-16.0,1,3,-1306.0
307,662,12,2,54,1973,6.0,3.0,23.0,22,91,-1367.5000827987542
266,608,4,2,4,309,30.0,2.0,-13.0,4,7,-1383.5
360,759,2,1,24,179,2.0,4.0,8.0,24,25,-1390.1705664732253
433,856,1,1,40,455,4.0,4.0,28.0,40,40,-1412.0000005578936
423,843,1,1,40,455,4.0,3.0,28.0,40,40,-1413.0000005578936
419,839,2,2,41,575,4.0,4.0,27.0,41,41,-1460.000001516512
191,444,17,4,46,1753,12.0,4.0,12.0,23,81,-1508.9575043533328
173,417,12,2,55,1788,8.0,3.0,27.0,20,88,-1521.000001516512
123,327,77,17,209,15853,6.0,3.0,14.0,55,855,-1545.670925255805
389,793,2,1,40,403,3.0,5.0,27.0,40,41,-1617.500001516512
312,667,22,4,44,1729,8.0,2.0,9.0,22,71,-1628.074136735728
421,841,1,1,39,454,4.0,5.0,23.0,39,39,-1735.0000827987542
290,640,4,2,12,336,24.0,3.0,-3.0,7,18,-1756.5
432,855,1,1,40,455,4.0,4.0,24.0,40,40,-1812.0000304599594
